feature,corr_with_target,abs_corr_with_target
rv_60d_ann,0.3859805205645801,0.3859805205645801
ewma_vol_ann,0.3812774842189776,0.3812774842189776
rv_20d_ann,0.33452685873362475,0.33452685873362475
rv_5d_ann,0.30021869181176225,0.30021869181176225
ma_60_ratio,-0.15430125023803454,0.15430125023803454
ret_20d,-0.13964903167197182,0.13964903167197182
ma_20_ratio,-0.1335178801095932,0.1335178801095932
month,0.10723865564924696,0.10723865564924696
ret_5d,-0.1019293729532923,0.1019293729532923
log_return,-0.04528497789779175,0.04528497789779175
